Date,Price,Open,High,Low,Vol.,Change %
4-Dec-20,46.26,45.64,46.68,45.61,335.45K,0.0136
3-Dec-20,45.64,44.99,45.84,44.66,350.77K,0.008
2-Dec-20,45.28,44.38,45.92,43.92,368.85K,0.0164
1-Dec-20,44.55,45.08,45.7,44.12,314.92K,-0.0174
30-Nov-20,45.34,45.34,45.8,44.42,370.76K,-0.0042
27-Nov-20,45.53,45.9,46.09,44.55,365.13K,0.0122
26-Nov-20,44.98,45.77,46.09,44.73,-,-0.016
25-Nov-20,45.71,44.82,46.26,44.73,417.18K,0.0178
24-Nov-20,44.91,42.84,45.2,42.82,418.53K,0.043
23-Nov-20,43.06,42.46,43.36,42.29,300.72K,0.0216
20-Nov-20,42.15,41.7,42.32,41.51,29.78K,0.0098
19-Nov-20,41.74,41.61,41.98,41.08,88.14K,-0.0019
18-Nov-20,41.82,41.35,42.46,41.08,107.01K,0.0094
17-Nov-20,41.43,41.44,41.69,40.57,243.68K,0.0022
16-Nov-20,41.34,40.17,42.09,40.15,378.79K,0.0302
13-Nov-20,40.13,40.94,40.94,40.06,338.19K,-0.0241
12-Nov-20,41.12,41.47,42.19,40.87,401.03K,-0.008
11-Nov-20,41.45,41.79,43.06,41.32,443.77K,0.0022
10-Nov-20,41.36,39.91,41.84,39.41,457.05K,0.0266
9-Nov-20,40.29,37.34,41.33,37.16,622.92K,0.0848
6-Nov-20,37.14,38.54,38.61,37.06,411.03K,-0.0425
5-Nov-20,38.79,39.17,39.35,38.27,298.37K,-0.0092
4-Nov-20,39.15,38.15,39.25,37.26,437.00K,0.0396
3-Nov-20,37.66,37.03,38.32,36.57,410.61K,0.0231
2-Nov-20,36.81,35.24,37.15,33.64,489.20K,0.0285
30-Oct-20,35.79,36.07,36.6,35.21,388.97K,-0.0105
29-Oct-20,36.17,37.39,37.76,34.92,568.82K,-0.0326
28-Oct-20,37.39,38.97,39.01,36.97,489.95K,-0.0551
27-Oct-20,39.57,38.59,39.83,38.51,339.54K,0.0262
26-Oct-20,38.56,39.69,39.74,38.28,360.18K,-0.0324
23-Oct-20,39.85,40.61,40.92,39.57,268.93K,-0.0194
22-Oct-20,40.64,40.04,41.02,39.71,307.49K,0.0152
21-Oct-20,40.03,41.22,41.59,39.78,366.90K,-0.0345
20-Oct-20,41.46,40.65,41.7,40.25,24.52K,0.0154
19-Oct-20,40.83,40.69,41.22,40.54,75.34K,-0.0012
16-Oct-20,40.88,40.88,41.05,40.08,96.49K,-0.002
15-Oct-20,40.96,41.13,41.29,39.22,248.25K,-0.0019
14-Oct-20,41.04,40.19,41.16,39.82,328.30K,0.0209
13-Oct-20,40.2,39.53,40.53,39.35,375.47K,0.0195
12-Oct-20,39.43,40.4,40.45,39.04,322.04K,-0.0288
9-Oct-20,40.6,41.31,41.47,40.38,331.70K,-0.0143
8-Oct-20,41.19,39.99,41.33,39.76,409.79K,0.031
7-Oct-20,39.95,39.83,40.35,39.28,433.07K,-0.0177
6-Oct-20,40.67,39.35,40.86,39.1,400.53K,0.037
5-Oct-20,39.22,37,39.72,37,378.58K,0.0586
2-Oct-20,37.05,38.6,38.65,36.63,391.43K,-0.0431
1-Oct-20,38.72,39.9,40.47,37.61,443.44K,-0.0373
30-Sep-20,40.22,39.16,40.37,38.68,340.29K,0.0237
29-Sep-20,39.29,40.58,40.7,38.41,379.60K,-0.0323
28-Sep-20,40.6,40.07,40.8,39.78,226.43K,0.0087
25-Sep-20,40.25,40.15,40.64,39.71,229.03K,-0.0015
24-Sep-20,40.31,39.6,40.37,39.12,269.99K,0.0095
23-Sep-20,39.93,39.76,40.75,39.26,318.75K,0.0083
22-Sep-20,39.6,39.63,40.02,39,23.22K,0.0074
21-Sep-20,39.31,40.98,41.27,38.66,66.20K,-0.0438
18-Sep-20,41.11,40.97,41.49,40.3,73.76K,0.0034
17-Sep-20,40.97,40.19,41.22,39.42,280.67K,0.0202
