Date,Price,Open,High,Low,Vol.,Change %
24-Sep-20,578.6,636.5,636.6,578.6,0.35K,-0.0477
23-Sep-20,607.6,604.1,607.6,595.4,0.13K,0.0501
22-Sep-20,578.6,554.6,578.6,550.1,0.34K,0.0528
21-Sep-20,549.6,549.6,549.6,549.6,0.09K,-0.0501
18-Sep-20,578.6,597.6,608.4,578.6,0.22K,-0.0318
17-Sep-20,597.6,610.1,629,593,0.32K,-0.0235
16-Sep-20,612,633.3,637.4,611.4,0.48K,-0.3348
15-Sep-20,920,955,955,920,0.01K,-0.0655
14-Sep-20,984.5,953.5,1000,950,0.07K,0.0385
11-Sep-20,948,943,949,934,0.04K,0.0096
10-Sep-20,939,909,945,899,0.08K,0.0433
9-Sep-20,900,883,910.9,875,0.12K,0.0286
8-Sep-20,875,871,905,871,0.10K,-0.0056
4-Sep-20,879.9,810,888,781.9,0.18K,0.0601
3-Sep-20,830,888.3,888.3,805,0.17K,-0.0811
2-Sep-20,903.3,924.9,925,900,0.08K,-0.0271
1-Sep-20,928.5,931,933,898.1,0.16K,0.0005
31-Aug-20,928,917.5,934.5,917.5,0.30K,0.0137
28-Aug-20,915.5,916.3,916.3,883.3,0.92K,0.0318
27-Aug-20,887.3,887.3,887.3,887.3,0.28K,0.0338
26-Aug-20,858.3,847.1,858.3,844.3,0.32K,0.035
25-Aug-20,829.3,796.3,829.3,791.3,0.84K,0.0234
24-Aug-20,810.3,839.1,859.9,801.9,1.33K,-0.0248
21-Aug-20,830.9,819,830.9,811.5,0.76K,0.0362
20-Aug-20,801.9,789.9,801.9,778,0.71K,0.0243
19-Aug-20,782.9,770.6,783,767,0.78K,0.0383
18-Aug-20,754,751,754,751,0.38K,0.0259
17-Aug-20,735,724,738.5,709.6,0.51K,0.0117
14-Aug-20,726.5,734.1,748,703.2,0.85K,0.0021
13-Aug-20,725,710,725,703,0.51K,0.0269
12-Aug-20,706,695,710.5,691.7,0.56K,0.036
11-Aug-20,681.5,662.5,681.5,660,0.42K,0.0287
10-Aug-20,662.5,650,664.9,646.3,0.25K,0.0224
7-Aug-20,648,649.4,659.4,630,0.73K,0.01
6-Aug-20,641.6,626.5,641.6,618.9,0.29K,0.0305
5-Aug-20,622.6,612.4,624.6,603.2,0.45K,0.0192
4-Aug-20,610.9,597.7,611,586.6,0.37K,0.0247
3-Aug-20,596.2,595,600.8,584.1,0.28K,0.0178
31-Jul-20,585.8,594.8,598.8,575.2,0.55K,0.0093
30-Jul-20,580.4,588.8,589.3,567,0.45K,-0.0079
29-Jul-20,585,574.1,585.9,569,0.26K,0.0319
28-Jul-20,566.9,568,579.2,561.9,0.35K,-0.0018
27-Jul-20,567.9,555.1,570.4,555.1,0.44K,0.0489
24-Jul-20,541.4,531.6,541.4,531.5,0.33K,0.0364
23-Jul-20,522.4,511,529.5,505,0.46K,0.0233
22-Jul-20,510.5,509,524,484.2,0.77K,-0.0053
21-Jul-20,513.2,529.5,529.5,513.2,0.32K,-0.0357
20-Jul-20,532.2,553,564.3,531.8,0.56K,-0.0338
17-Jul-20,550.8,534.6,553.2,531.1,0.57K,0.0507
16-Jul-20,524.2,508,524.2,508,0.49K,-0.1263
15-Jul-20,600,600,600,600,0.00K,0.0292
14-Jul-20,583,553,583,553,0.01K,0.093
13-Jul-20,533.4,544.1,549.9,533.4,0.02K,-0.0104
10-Jul-20,539,499,570,499,0.06K,0.0802
9-Jul-20,499,486.3,499,482.3,0.09K,0.0289
8-Jul-20,485,470.2,487,465,0.04K,0.0297
7-Jul-20,471,466.1,474.8,461.2,0.05K,0.0237
6-Jul-20,460.1,449.6,460,449.6,0.05K,0.027
2-Jul-20,448,443.7,454,443.7,0.07K,0.0214
1-Jul-20,438.6,439,439.3,435.1,0.06K,0.0067
30-Jun-20,435.7,428.7,438.3,427.2,0.14K,0.0225
29-Jun-20,426.1,425.1,430.4,422.3,0.10K,-0.0102
26-Jun-20,430.5,440,447.7,427.5,0.21K,-0.0117
25-Jun-20,435.6,426.8,444,426.8,0.15K,0.0159
24-Jun-20,428.8,438.1,438.9,422.7,0.25K,-0.027
23-Jun-20,440.7,430,441.3,427.3,0.25K,0.0246
22-Jun-20,430.1,418,435.1,417.9,0.39K,0.0206
19-Jun-20,421.4,409.9,424.7,407.5,0.42K,0.0501
18-Jun-20,401.3,385.7,401.3,382.8,0.46K,0.0497
17-Jun-20,382.3,371.1,386,367.1,0.38K,0.0238
16-Jun-20,373.4,364.7,375,364.7,0.41K,0.0335
15-Jun-20,361.3,351.1,362.6,351.1,0.22K,0.0189
12-Jun-20,354.6,354.7,360.1,351,0.20K,0.0103
11-Jun-20,351,360.7,368.9,349.7,0.33K,-0.0304
10-Jun-20,362,357.8,367.5,354,0.18K,0.0123
9-Jun-20,357.6,369.8,369.8,354,0.28K,-0.0356
8-Jun-20,370.8,368.8,376.8,368.8,0.31K,0.0054
5-Jun-20,368.8,361.6,368.8,360.6,0.28K,0.0354
4-Jun-20,356.2,350.1,357.3,350.1,0.20K,0.0233
3-Jun-20,348.1,359.6,359.6,346.3,0.26K,-0.0249
2-Jun-20,357,362.2,362.3,356.5,0.20K,-0.0146
1-Jun-20,362.3,362.3,367.7,362.2,0.15K,-0.0131
29-May-20,367.1,367.9,370.3,362.2,0.23K,-0.0033
28-May-20,368.3,362.6,378.5,354.6,0.47K,0.0233
27-May-20,359.9,357.8,361.9,356,0.11K,0.0087
26-May-20,356.8,371.5,375,353.8,0.25K,-0.0291
22-May-20,367.5,370,374,363.9,0.18K,-0.0076
21-May-20,370.3,366,376,362.1,0.35K,0.0076
20-May-20,367.5,353.2,372.8,349.9,0.38K,0.0373
19-May-20,354.3,350,355.8,348.1,0.21K,0.0234
18-May-20,346.2,349.8,351,343.3,0.14K,0.0396
15-May-20,333,328.5,328.5,328.5,0.00K,-0.0306
14-May-20,343.5,335.1,345,335.1,0.04K,0.0251
13-May-20,335.1,334.4,345,334.4,0.03K,-0.0173
12-May-20,341,342,342,342,0.02K,0.0302
11-May-20,331,344.1,349,331,0.05K,-0.0339
8-May-20,342.6,335,342.6,335,0.04K,0.0319
7-May-20,332,322.2,333.1,320.2,0.03K,0.0141
6-May-20,327.4,337,340,325.2,0.07K,-0.0262
5-May-20,336.2,334.7,339.7,334.7,0.07K,0.0188
4-May-20,330,331.7,334.9,328,0.07K,0.0092
1-May-20,327,320,332.3,320,0.07K,0.0228
30-Apr-20,319.7,320.6,324.7,314.5,0.07K,0.0057
29-Apr-20,317.9,325,325,317.3,0.03K,-0.0263
28-Apr-20,326.5,314,331.5,314,0.10K,0.0345
27-Apr-20,315.6,318.3,318.3,311.1,0.06K,-0.0208
